Gene_Name,Gene_ID,Strand,Start,End,Sequence_Type
COL23A1,ENSG00000050767,-,81319,81329,Genomic
COL23A1,ENSG00000050767,-,90244,90254,Genomic
COL23A1,ENSG00000050767,-,99200,99210,Genomic
COL23A1,ENSG00000050767,-,99724,99734,Genomic
COL23A1,ENSG00000050767,-,104363,104373,Genomic
COL23A1,ENSG00000050767,-,107807,107817,Genomic
COL23A1,ENSG00000050767,-,134931,134941,Genomic
COL23A1,ENSG00000050767,-,145029,145039,Genomic
COL23A1,ENSG00000050767,-,145048,145058,Genomic
COL23A1,ENSG00000050767,-,145337,145347,Genomic
COL23A1,ENSG00000050767,-,153618,153628,Genomic
COL23A1,ENSG00000050767,-,158834,158844,Genomic
COL23A1,ENSG00000050767,-,169332,169342,Genomic
COL23A1,ENSG00000050767,-,178976,178986,Genomic
COL23A1,ENSG00000050767,-,181229,181239,Genomic
COL23A1,ENSG00000050767,-,186370,186380,Genomic
COL23A1,ENSG00000050767,-,199592,199602,Genomic
COL23A1,ENSG00000050767,-,207010,207020,Genomic
COL23A1,ENSG00000050767,-,210983,210993,Genomic
COL23A1,ENSG00000050767,-,214019,214029,Genomic
COL23A1,ENSG00000050767,-,234315,234325,Genomic
COL23A1,ENSG00000050767,-,237347,237357,Genomic
COL23A1,ENSG00000050767,-,243694,243704,Genomic
COL23A1,ENSG00000050767,-,266888,266898,Genomic
COL23A1,ENSG00000050767,-,284650,284660,Genomic
COL23A1,ENSG00000050767,-,322124,322134,Genomic
COL23A1,ENSG00000050767,-,330754,330764,Genomic
ROBO3,ENSG00000154134,-,16474,16484,Genomic
ROBO3,ENSG00000154134,-,4462,4472,Transcript
WDR78,ENSG00000152763,+,11024,11034,Genomic
WDR78,ENSG00000152763,+,18041,18051,Genomic
WDR78,ENSG00000152763,+,23391,23401,Genomic
WDR78,ENSG00000152763,+,24079,24089,Genomic
WDR78,ENSG00000152763,+,24463,24473,Genomic
WDR78,ENSG00000152763,+,25835,25845,Genomic
WDR78,ENSG00000152763,+,26021,26031,Genomic
WDR78,ENSG00000152763,+,29760,29770,Genomic
WDR78,ENSG00000152763,+,40312,40322,Genomic
WDR78,ENSG00000152763,+,46120,46130,Genomic
WDR78,ENSG00000152763,+,61404,61414,Genomic
WDR78,ENSG00000152763,+,64970,64980,Genomic
WDR78,ENSG00000152763,+,77145,77155,Genomic
WDR78,ENSG00000152763,+,91700,91710,Genomic
WDR78,ENSG00000152763,+,96599,96609,Genomic
WDR78,ENSG00000152763,+,104392,104402,Genomic
WDR78,ENSG00000152763,+,106000,106010,Genomic
WDR78,ENSG00000152763,-,2829,2839,Genomic
WDR78,ENSG00000152763,-,28493,28503,Genomic
WDR78,ENSG00000152763,-,49333,49343,Genomic
WDR78,ENSG00000152763,-,51053,51063,Genomic
WDR78,ENSG00000152763,-,59354,59364,Genomic
WDR78,ENSG00000152763,-,66483,66493,Genomic
WDR78,ENSG00000152763,-,68559,68569,Genomic
WDR78,ENSG00000152763,-,72998,73008,Genomic
WDR78,ENSG00000152763,-,93561,93571,Genomic
WDR78,ENSG00000152763,-,95331,95341,Genomic
WDR78,ENSG00000152763,+,1966,1976,Transcript
SPINT1,ENSG00000166145,+,159,169,Genomic
SPINT1,ENSG00000166145,-,1624,1634,Genomic
SPINT1,ENSG00000166145,-,6546,6556,Genomic
SDHC,ENSG00000143252,+,49541,49551,Genomic
SDHC,ENSG00000143252,-,1412,1422,Genomic
SDHC,ENSG00000143252,-,18742,18752,Genomic
SDHC,ENSG00000143252,-,24968,24978,Genomic
SDHC,ENSG00000143252,-,37519,37529,Genomic
SDHC,ENSG00000143252,-,41524,41534,Genomic
SDHC,ENSG00000143252,-,49207,49217,Genomic
SDHC,ENSG00000143252,-,1189,1199,Transcript
ENG,ENSG00000106991,+,21352,21362,Genomic
ENG,ENSG00000106991,-,216,226,Genomic
ENG,ENSG00000106991,-,3371,3381,Genomic
ENG,ENSG00000106991,-,10244,10254,Genomic
HOOK3,ENSG00000168172,+,2530,2540,Genomic
HOOK3,ENSG00000168172,+,11592,11602,Genomic
HOOK3,ENSG00000168172,+,21274,21284,Genomic
HOOK3,ENSG00000168172,+,46724,46734,Genomic
HOOK3,ENSG00000168172,+,55153,55163,Genomic
HOOK3,ENSG00000168172,+,59219,59229,Genomic
HOOK3,ENSG00000168172,+,99958,99968,Genomic
HOOK3,ENSG00000168172,+,105800,105810,Genomic
HOOK3,ENSG00000168172,+,119123,119133,Genomic
HOOK3,ENSG00000168172,+,120105,120115,Genomic
HOOK3,ENSG00000168172,-,18751,18761,Genomic
HOOK3,ENSG00000168172,-,39934,39944,Genomic
HOOK3,ENSG00000168172,-,50304,50314,Genomic
HOOK3,ENSG00000168172,-,83505,83515,Genomic
HOOK3,ENSG00000168172,-,94864,94874,Genomic
HOOK3,ENSG00000168172,-,95622,95632,Genomic
HOOK3,ENSG00000168172,-,98085,98095,Genomic
HOOK3,ENSG00000168172,-,99253,99263,Genomic
HOOK3,ENSG00000168172,-,99384,99394,Genomic
HOOK3,ENSG00000168172,-,99406,99416,Genomic
HOOK3,ENSG00000168172,-,103069,103079,Genomic
HOOK3,ENSG00000168172,-,124738,124748,Genomic
HOOK3,ENSG00000168172,-,125761,125771,Genomic
HOOK3,ENSG00000168172,-,127319,127329,Genomic
HOOK3,ENSG00000168172,-,4996,5006,Transcript
HOOK3,ENSG00000168172,-,6019,6029,Transcript
HOOK3,ENSG00000168172,-,7577,7587,Transcript
ABCC6,ENSG00000091262,+,6473,6483,Genomic
ABCC6,ENSG00000091262,+,10468,10478,Genomic
ABCC6,ENSG00000091262,+,19190,19200,Genomic
ABCC6,ENSG00000091262,+,44748,44758,Genomic
ABCC6,ENSG00000091262,-,926,936,Genomic
ABCC6,ENSG00000091262,-,45676,45686,Genomic
ABCC6,ENSG00000091262,-,47184,47194,Genomic
ABCC6,ENSG00000091262,-,70105,70115,Genomic
STRAP,ENSG00000023734,+,8652,8662,Genomic
STRAP,ENSG00000023734,+,16722,16732,Genomic
STRAP,ENSG00000023734,-,11349,11359,Genomic
STRAP,ENSG00000023734,-,13627,13637,Genomic
STRAP,ENSG00000023734,-,16690,16700,Genomic
STRAP,ENSG00000023734,-,17270,17280,Genomic
RNF6,ENSG00000127870,+,9737,9747,Genomic
RNF6,ENSG00000127870,+,10792,10802,Genomic
RNF6,ENSG00000127870,+,20624,20634,Genomic
RNF6,ENSG00000127870,+,60954,60964,Genomic
RNF6,ENSG00000127870,+,82625,82635,Genomic
RNF6,ENSG00000127870,+,89120,89130,Genomic
RNF6,ENSG00000127870,-,18277,18287,Genomic
RNF6,ENSG00000127870,-,23954,23964,Genomic
RNF6,ENSG00000127870,-,24123,24133,Genomic
RNF6,ENSG00000127870,-,25805,25815,Genomic
RNF6,ENSG00000127870,-,26524,26534,Genomic
RNF6,ENSG00000127870,-,33303,33313,Genomic
RNF6,ENSG00000127870,-,51383,51393,Genomic
RNF6,ENSG00000127870,-,55331,55341,Genomic
RNF6,ENSG00000127870,-,66623,66633,Genomic
RNF6,ENSG00000127870,-,74200,74210,Genomic
RNF6,ENSG00000127870,-,80187,80197,Genomic
RNF6,ENSG00000127870,+,3217,3227,Transcript
UPF3A,ENSG00000169062,+,1660,1670,Genomic
UPF3A,ENSG00000169062,+,10058,10068,Genomic
UPF3A,ENSG00000169062,+,21128,21138,Genomic
UPF3A,ENSG00000169062,-,2806,2816,Genomic
UPF3A,ENSG00000169062,-,9610,9620,Genomic
UPF3A,ENSG00000169062,-,11022,11032,Genomic
HLF,ENSG00000108924,+,5854,5864,Genomic
HLF,ENSG00000108924,+,16392,16402,Genomic
HLF,ENSG00000108924,+,25632,25642,Genomic
HLF,ENSG00000108924,+,26430,26440,Genomic
HLF,ENSG00000108924,+,46773,46783,Genomic
HLF,ENSG00000108924,-,4288,4298,Genomic
HLF,ENSG00000108924,-,8527,8537,Genomic
HLF,ENSG00000108924,-,10232,10242,Genomic
HLF,ENSG00000108924,-,23692,23702,Genomic
HLF,ENSG00000108924,-,44463,44473,Genomic
HLF,ENSG00000108924,-,56173,56183,Genomic
STK4,ENSG00000101109,+,3301,3311,Genomic
STK4,ENSG00000101109,+,9908,9918,Genomic
STK4,ENSG00000101109,+,9979,9989,Genomic
STK4,ENSG00000101109,+,33090,33100,Genomic
STK4,ENSG00000101109,+,34466,34476,Genomic
STK4,ENSG00000101109,+,41254,41264,Genomic
STK4,ENSG00000101109,+,59038,59048,Genomic
STK4,ENSG00000101109,+,76017,76027,Genomic
STK4,ENSG00000101109,+,83833,83843,Genomic
STK4,ENSG00000101109,+,116661,116671,Genomic
STK4,ENSG00000101109,-,5412,5422,Genomic
STK4,ENSG00000101109,-,25472,25482,Genomic
STK4,ENSG00000101109,-,28581,28591,Genomic
STK4,ENSG00000101109,-,36367,36377,Genomic
STK4,ENSG00000101109,-,40038,40048,Genomic
STK4,ENSG00000101109,-,40210,40220,Genomic
STK4,ENSG00000101109,-,40443,40453,Genomic
STK4,ENSG00000101109,-,41015,41025,Genomic
STK4,ENSG00000101109,-,43779,43789,Genomic
STK4,ENSG00000101109,-,48000,48010,Genomic
STK4,ENSG00000101109,-,58476,58486,Genomic
STK4,ENSG00000101109,-,59326,59336,Genomic
STK4,ENSG00000101109,-,89710,89720,Genomic
STK4,ENSG00000101109,-,89744,89754,Genomic
STK4,ENSG00000101109,-,93229,93239,Genomic
STK4,ENSG00000101109,-,106738,106748,Genomic
STK4,ENSG00000101109,+,956,966,Transcript
STK4,ENSG00000101109,+,1263,1273,Transcript
ZWILCH,ENSG00000174442,+,3848,3858,Genomic
ZWILCH,ENSG00000174442,+,26595,26605,Genomic
ZWILCH,ENSG00000174442,+,43907,43917,Genomic
ZWILCH,ENSG00000174442,-,3610,3620,Genomic
ZWILCH,ENSG00000174442,-,16763,16773,Genomic
ZWILCH,ENSG00000174442,-,21677,21687,Genomic
ZWILCH,ENSG00000174442,-,24906,24916,Genomic
ZWILCH,ENSG00000174442,-,28014,28024,Genomic
ZWILCH,ENSG00000174442,+,1830,1840,Transcript
MRO,ENSG00000134042,+,9552,9562,Genomic
MRO,ENSG00000134042,+,12352,12362,Genomic
MRO,ENSG00000134042,+,12552,12562,Genomic
MRO,ENSG00000134042,+,13427,13437,Genomic
MRO,ENSG00000134042,+,23778,23788,Genomic
MRO,ENSG00000134042,+,24463,24473,Genomic
MRO,ENSG00000134042,-,8159,8169,Genomic
MRO,ENSG00000134042,-,29023,29033,Genomic
MRO,ENSG00000134042,+,740,750,Transcript
MRO,ENSG00000134042,-,3450,3460,Transcript
COX7A2L,ENSG00000115944,+,3718,3728,Genomic
COX7A2L,ENSG00000115944,+,14811,14821,Genomic
COX7A2L,ENSG00000115944,+,20223,20233,Genomic
COX7A2L,ENSG00000115944,+,29140,29150,Genomic
COX7A2L,ENSG00000115944,+,37754,37764,Genomic
COX7A2L,ENSG00000115944,+,68428,68438,Genomic
COX7A2L,ENSG00000115944,+,89494,89504,Genomic
COX7A2L,ENSG00000115944,-,26759,26769,Genomic
COX7A2L,ENSG00000115944,-,42061,42071,Genomic
COX7A2L,ENSG00000115944,-,43495,43505,Genomic
COX7A2L,ENSG00000115944,-,46245,46255,Genomic
COX7A2L,ENSG00000115944,-,54947,54957,Genomic
COX7A2L,ENSG00000115944,-,58432,58442,Genomic
SF3A3,ENSG00000183431,+,174,184,Genomic
SF3A3,ENSG00000183431,+,11278,11288,Genomic
SF3A3,ENSG00000183431,+,33438,33448,Genomic
SF3A3,ENSG00000183431,-,13608,13618,Genomic
SF3A3,ENSG00000183431,-,17369,17379,Genomic
SF3A3,ENSG00000183431,-,32446,32456,Genomic
SF3A3,ENSG00000183431,+,2611,2621,Transcript
SF3A3,ENSG00000183431,-,1619,1629,Transcript
TMEM178A,ENSG00000152154,+,52074,52084,Genomic
TMEM178A,ENSG00000152154,+,52143,52153,Genomic
TMEM178A,ENSG00000152154,-,15945,15955,Genomic
TMEM178A,ENSG00000152154,-,16501,16511,Genomic
TMEM178A,ENSG00000152154,-,34130,34140,Genomic
TMEM178A,ENSG00000152154,-,51471,51481,Genomic
UBFD1,ENSG00000103353,+,343,353,Genomic
UBFD1,ENSG00000103353,-,1550,1560,Genomic
TAF12,ENSG00000120656,+,1524,1534,Genomic
TAF12,ENSG00000120656,+,11542,11552,Genomic
TAF12,ENSG00000120656,-,14888,14898,Genomic
TAF12,ENSG00000120656,-,16641,16651,Genomic
TAF12,ENSG00000120656,-,32365,32375,Genomic
TAF12,ENSG00000120656,-,46873,46883,Genomic
NTNG1,ENSG00000162631,+,1277,1287,Genomic
NTNG1,ENSG00000162631,+,2525,2535,Genomic
NTNG1,ENSG00000162631,+,9269,9279,Genomic
NTNG1,ENSG00000162631,+,24401,24411,Genomic
NTNG1,ENSG00000162631,+,54887,54897,Genomic
NTNG1,ENSG00000162631,+,69871,69881,Genomic
NTNG1,ENSG00000162631,+,72379,72389,Genomic
NTNG1,ENSG00000162631,+,103924,103934,Genomic
NTNG1,ENSG00000162631,+,105398,105408,Genomic
NTNG1,ENSG00000162631,+,108660,108670,Genomic
NTNG1,ENSG00000162631,+,126173,126183,Genomic
NTNG1,ENSG00000162631,+,146679,146689,Genomic
NTNG1,ENSG00000162631,+,148964,148974,Genomic
NTNG1,ENSG00000162631,+,158523,158533,Genomic
NTNG1,ENSG00000162631,+,178934,178944,Genomic
NTNG1,ENSG00000162631,+,196558,196568,Genomic
NTNG1,ENSG00000162631,+,202452,202462,Genomic
NTNG1,ENSG00000162631,+,204786,204796,Genomic
NTNG1,ENSG00000162631,+,220919,220929,Genomic
NTNG1,ENSG00000162631,+,223202,223212,Genomic
NTNG1,ENSG00000162631,+,250609,250619,Genomic
NTNG1,ENSG00000162631,+,268596,268606,Genomic
NTNG1,ENSG00000162631,+,279903,279913,Genomic
NTNG1,ENSG00000162631,+,280203,280213,Genomic
NTNG1,ENSG00000162631,+,301527,301537,Genomic
NTNG1,ENSG00000162631,+,304511,304521,Genomic
NTNG1,ENSG00000162631,+,309545,309555,Genomic
NTNG1,ENSG00000162631,+,312431,312441,Genomic
NTNG1,ENSG00000162631,+,316588,316598,Genomic
NTNG1,ENSG00000162631,+,327036,327046,Genomic
NTNG1,ENSG00000162631,-,16644,16654,Genomic
NTNG1,ENSG00000162631,-,16837,16847,Genomic
NTNG1,ENSG00000162631,-,23997,24007,Genomic
NTNG1,ENSG00000162631,-,26761,26771,Genomic
NTNG1,ENSG00000162631,-,31693,31703,Genomic
NTNG1,ENSG00000162631,-,33492,33502,Genomic
NTNG1,ENSG00000162631,-,34352,34362,Genomic
NTNG1,ENSG00000162631,-,40989,40999,Genomic
NTNG1,ENSG00000162631,-,63081,63091,Genomic
NTNG1,ENSG00000162631,-,69075,69085,Genomic
NTNG1,ENSG00000162631,-,69606,69616,Genomic
NTNG1,ENSG00000162631,-,71404,71414,Genomic
NTNG1,ENSG00000162631,-,75256,75266,Genomic
NTNG1,ENSG00000162631,-,77638,77648,Genomic
NTNG1,ENSG00000162631,-,77933,77943,Genomic
NTNG1,ENSG00000162631,-,83667,83677,Genomic
NTNG1,ENSG00000162631,-,93657,93667,Genomic
NTNG1,ENSG00000162631,-,114053,114063,Genomic
NTNG1,ENSG00000162631,-,118388,118398,Genomic
NTNG1,ENSG00000162631,-,125208,125218,Genomic
NTNG1,ENSG00000162631,-,134356,134366,Genomic
NTNG1,ENSG00000162631,-,140958,140968,Genomic
NTNG1,ENSG00000162631,-,145931,145941,Genomic
NTNG1,ENSG00000162631,-,156583,156593,Genomic
NTNG1,ENSG00000162631,-,162271,162281,Genomic
NTNG1,ENSG00000162631,-,164689,164699,Genomic
NTNG1,ENSG00000162631,-,167303,167313,Genomic
NTNG1,ENSG00000162631,-,184680,184690,Genomic
NTNG1,ENSG00000162631,-,188031,188041,Genomic
NTNG1,ENSG00000162631,-,202261,202271,Genomic
NTNG1,ENSG00000162631,-,232653,232663,Genomic
NTNG1,ENSG00000162631,-,232727,232737,Genomic
NTNG1,ENSG00000162631,-,244327,244337,Genomic
NTNG1,ENSG00000162631,-,259209,259219,Genomic
NTNG1,ENSG00000162631,-,259840,259850,Genomic
NTNG1,ENSG00000162631,-,268160,268170,Genomic
NTNG1,ENSG00000162631,-,274601,274611,Genomic
NTNG1,ENSG00000162631,-,278549,278559,Genomic
NTNG1,ENSG00000162631,-,298024,298034,Genomic
NTNG1,ENSG00000162631,-,318931,318941,Genomic
NTNG1,ENSG00000162631,-,320519,320529,Genomic
NTNG1,ENSG00000162631,-,322695,322705,Genomic
NTNG1,ENSG00000162631,-,329878,329888,Genomic
NTNG1,ENSG00000162631,+,809,819,Transcript
KCNE3,ENSG00000175538,+,2363,2373,Genomic
KCNE3,ENSG00000175538,-,5460,5470,Genomic
KCNE3,ENSG00000175538,-,13032,13042,Genomic
KCNE3,ENSG00000175538,-,2707,2717,Transcript
VIM,ENSG00000026025,+,4200,4210,Genomic
VIM,ENSG00000026025,+,10260,10270,Genomic
RWDD3,ENSG00000122481,-,5831,5841,Genomic
LRRC41,ENSG00000132128,+,23218,23228,Genomic
LRRC41,ENSG00000132128,-,25344,25354,Genomic
LRRC41,ENSG00000132128,-,2825,2835,Transcript
CPNE2,ENSG00000140848,+,6703,6713,Genomic
CPNE2,ENSG00000140848,+,21966,21976,Genomic
CPNE2,ENSG00000140848,+,48953,48963,Genomic
CPNE2,ENSG00000140848,+,56101,56111,Genomic
CPNE2,ENSG00000140848,-,9858,9868,Genomic
CPNE2,ENSG00000140848,-,13943,13953,Genomic
CPNE2,ENSG00000140848,-,20722,20732,Genomic
CPNE2,ENSG00000140848,-,36783,36793,Genomic
CPNE2,ENSG00000140848,+,2415,2425,Transcript
CNGA4,ENSG00000132259,+,8044,8054,Genomic
KIAA1191,ENSG00000122203,+,1159,1169,Genomic
KIAA1191,ENSG00000122203,+,2296,2306,Genomic
EDAR,ENSG00000135960,+,13063,13073,Genomic
EDAR,ENSG00000135960,+,20288,20298,Genomic
EDAR,ENSG00000135960,+,39601,39611,Genomic
EDAR,ENSG00000135960,+,39681,39691,Genomic
EDAR,ENSG00000135960,+,51273,51283,Genomic
EDAR,ENSG00000135960,+,58116,58126,Genomic
EDAR,ENSG00000135960,+,60991,61001,Genomic
EDAR,ENSG00000135960,-,4352,4362,Genomic
EDAR,ENSG00000135960,-,15090,15100,Genomic
EDAR,ENSG00000135960,-,86948,86958,Genomic
EDAR,ENSG00000135960,-,88373,88383,Genomic
HHIP,ENSG00000164161,+,29489,29499,Genomic
HHIP,ENSG00000164161,+,41912,41922,Genomic
HHIP,ENSG00000164161,+,55036,55046,Genomic
HHIP,ENSG00000164161,+,70386,70396,Genomic
HHIP,ENSG00000164161,+,76274,76284,Genomic
HHIP,ENSG00000164161,+,95168,95178,Genomic
HHIP,ENSG00000164161,-,15078,15088,Genomic
HHIP,ENSG00000164161,-,62082,62092,Genomic
HHIP,ENSG00000164161,-,98170,98180,Genomic
HHIP,ENSG00000164161,+,5489,5499,Transcript
HHIP,ENSG00000164161,-,8491,8501,Transcript
