Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,IFI44L,ENSG00000137959,IRF3,+,11577,11587,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF3,-,670,680,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF3,-,6275,6285,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF3,-,10448,10458,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF3,-,14153,14163,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF3,-,24861,24871,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF3,+,416,426,Transcript
Homo sapiens,IFI44L,ENSG00000137959,IRF7,+,3382,3392,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF7,+,3473,3483,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF7,+,11296,11306,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF7,+,11577,11587,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF7,-,670,680,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF7,-,6275,6285,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF7,-,10448,10458,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF7,-,14153,14163,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF7,-,24861,24871,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF7,+,416,426,Transcript
Homo sapiens,IFI44L,ENSG00000137959,IRF9,+,3382,3392,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF9,+,3473,3483,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF9,+,11296,11306,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF9,+,11577,11587,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF9,-,670,680,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF9,-,6275,6285,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF9,-,10448,10458,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF9,-,14153,14163,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF9,-,24861,24871,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF9,+,416,426,Transcript
Homo sapiens,IFIT3,ENSG00000119917,IRF3,+,4871,4881,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,+,6312,6322,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,+,12006,12016,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,+,19968,19978,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,+,40306,40316,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,+,40427,40437,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,+,43504,43514,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,+,47643,47653,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,-,3534,3544,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,-,3568,3578,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,-,8128,8138,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,-,8171,8181,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,-,26587,26597,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,-,26664,26674,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,-,28123,28133,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,+,4871,4881,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,+,6312,6322,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,+,12006,12016,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,+,19968,19978,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,+,40306,40316,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,+,40427,40437,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,+,43504,43514,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,+,47643,47653,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,-,3534,3544,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,-,3568,3578,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,-,8128,8138,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,-,8171,8181,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,-,26587,26597,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,-,26664,26674,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,-,28123,28133,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,+,4871,4881,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,+,6312,6322,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,+,12006,12016,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,+,19968,19978,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,+,40306,40316,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,+,40427,40437,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,+,43504,43514,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,+,47643,47653,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,-,3534,3544,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,-,3568,3578,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,-,8128,8138,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,-,8171,8181,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,-,26587,26597,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,-,26664,26674,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,-,28123,28133,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,+,2129,2139,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,+,8611,8621,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,1161,1171,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,2858,2868,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,3570,3580,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,7143,7153,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,13299,13309,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,13705,13715,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,17553,17563,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,19152,19162,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,19705,19715,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,613,623,Transcript
Homo sapiens,TNFSF10,ENSG00000121858,IRF7,+,2129,2139,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF7,+,8611,8621,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF7,-,1161,1171,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF7,-,2858,2868,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF7,-,3570,3580,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF7,-,7143,7153,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF7,-,13299,13309,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF7,-,13705,13715,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF7,-,17553,17563,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF7,-,19152,19162,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF7,-,19705,19715,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF7,-,613,623,Transcript
Homo sapiens,TNFSF10,ENSG00000121858,IRF9,+,2129,2139,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF9,+,8611,8621,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF9,-,1161,1171,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF9,-,2858,2868,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF9,-,3570,3580,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF9,-,7143,7153,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF9,-,13299,13309,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF9,-,13705,13715,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF9,-,17553,17563,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF9,-,19152,19162,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF9,-,19705,19715,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF9,-,613,623,Transcript
Homo sapiens,OAS1,ENSG00000089127,IRF3,+,3605,3615,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF3,+,21089,21099,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF3,+,31733,31743,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF3,-,10812,10822,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF3,-,11095,11105,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF3,-,15410,15420,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF7,+,3605,3615,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF7,+,21089,21099,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF7,+,31733,31743,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF7,-,10812,10822,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF7,-,11095,11105,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF7,-,15410,15420,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF9,+,3605,3615,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF9,+,21089,21099,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF9,+,31733,31743,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF9,-,10812,10822,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF9,-,11095,11105,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF9,-,15410,15420,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF3,+,3236,3246,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF3,-,3217,3227,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF3,-,13463,13473,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF3,-,19637,19647,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF3,-,22010,22020,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF3,-,30015,30025,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF3,-,1318,1328,Transcript
Homo sapiens,USP18,ENSG00000184979,IRF7,+,3236,3246,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF7,-,3217,3227,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF7,-,13463,13473,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF7,-,19637,19647,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF7,-,22010,22020,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF7,-,30015,30025,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF7,-,1318,1328,Transcript
Homo sapiens,USP18,ENSG00000184979,IRF9,+,3236,3246,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF9,-,3217,3227,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF9,-,13463,13473,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF9,-,19637,19647,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF9,-,22010,22020,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF9,-,30015,30025,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF9,-,1318,1328,Transcript
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,385,395,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,1459,1469,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,2979,2989,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,6298,6308,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,7194,7204,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,13367,13377,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,26414,26424,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,37450,37460,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,41524,41534,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,44782,44792,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,44911,44921,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,53351,53361,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,53442,53452,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,-,2841,2851,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,-,6581,6591,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,-,15548,15558,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,-,19936,19946,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,-,24126,24136,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,-,24780,24790,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,-,27000,27010,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,-,30184,30194,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,-,36425,36435,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,-,47208,47218,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,-,50357,50367,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,2465,2475,Transcript
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,2594,2604,Transcript
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,3028,3038,Transcript
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,385,395,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,1459,1469,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,2979,2989,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,6298,6308,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,7194,7204,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,13367,13377,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,26414,26424,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,37450,37460,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,41524,41534,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,44782,44792,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,44911,44921,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,53351,53361,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,53442,53452,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,2841,2851,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,6581,6591,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,15548,15558,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,19936,19946,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,24126,24136,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,24780,24790,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,27000,27010,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,30184,30194,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,36425,36435,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,47208,47218,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,50357,50367,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,2465,2475,Transcript
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,2594,2604,Transcript
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,3028,3038,Transcript
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,385,395,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,1459,1469,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,2979,2989,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,6298,6308,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,7194,7204,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,13367,13377,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,26414,26424,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,37450,37460,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,41524,41534,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,44782,44792,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,44911,44921,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,53351,53361,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,53442,53452,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,-,2841,2851,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,-,6581,6591,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,-,15548,15558,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,-,19936,19946,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,-,24126,24136,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,-,24780,24790,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,-,27000,27010,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,-,30184,30194,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,-,36425,36435,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,-,47208,47218,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,-,50357,50367,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,2465,2475,Transcript
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,2594,2604,Transcript
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,3028,3038,Transcript
Homo sapiens,GBP7,ENSG00000213512,IRF3,+,5005,5015,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,+,15166,15176,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,+,34865,34875,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,+,45698,45708,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,-,1259,1269,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,-,7030,7040,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,-,14407,14417,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,-,35765,35775,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,-,41892,41902,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,-,43296,43306,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,-,50006,50016,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,-,50085,50095,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,+,1710,1720,Transcript
Homo sapiens,GBP7,ENSG00000213512,IRF7,+,5005,5015,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF7,+,15166,15176,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF7,+,34865,34875,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF7,+,45698,45708,Genomic
